ID,严重度,模块,问题,代码证据,影响,修复方向,阶段
SEC-P0-001,P0 致命,Local API,未认证的任意本机文件读取接口,src/CacheHub.Desktop/Program.cs：GET /api/v1/outline 直接接受绝对 path 并 File.ReadAllText；API 无认证中间件,恶意网页、本机低权限进程或错误暴露的端口可读取工作区外任意可访问文件,立即删除任意绝对路径能力；只允许 workspaceId + virtualPath；统一 SafePathResolver；增加随机本地令牌、Origin/Host 校验、loopback 强制绑定,R0
SEC-P0-002,P0 致命,Desktop GUI,GUI 存在 DOM/Stored XSS，可与 Local API 组合利用,src/CacheHub.Desktop/wwwroot/index.html：工作区名称、路径、任务、文件路径、搜索结果通过 innerHTML/template literal 插入,恶意仓库文件名、路径或任务文本可执行脚本，进而调用同源 Local API 读取/删除/导出数据,全面移除不可信 innerHTML；使用 textContent/DOM API；增加 CSP；对搜索 snippet 采用受控高亮组件；补充 XSS 夹具测试,R0
SEC-P0-003,P0 致命,路径安全,符号链接未真正解析且可能逃逸工作区,PathNormalizer 注释声称处理 symlink 但仅 Path.GetFullPath；DirectoryEnumerator.ResolveSymlink 同样只返回 GetFullPath,FollowSymlinks=true 时可重复遍历、越出根目录、索引外部敏感文件或形成深度循环,基于 FileSystemInfo.ResolveLinkTarget(true) 获取实际目标；维护真实 inode/目标集合；目标必须再次通过根目录边界校验；默认禁用,R0
SEC-P0-004,P0 致命,安全外发,Secret Scan 只是标记，不会从 Payload 中移除敏感文件,ContextEngine 仅将 SecretsScanPassed=false 写入 Manifest；PayloadGenerator 与 /payload 仍读取并返回 SelectedFiles,调用方若未自行检查安全字段，敏感代码仍可被发送；PreviewRequired 也没有真实审批门,在 Payload 层强制执行安全策略；阻止生成或将文件转为 Metadata；PreviewRequired 必须返回 approvalRequired 并拒绝内容输出,R0
IDX-P0-001,P0 致命,索引快照,激活新快照会取消所有其他工作区的 Active 快照,IndexCommands.ActivateSnapshotAsync：UPDATE index_snapshots SET status=Superseded WHERE status=Active，缺少 workspace_id 条件,任一工作区重建索引会使其他所有工作区失去活动索引，Context Build 返回空结果,事务内按 workspace_id 取消旧快照并激活新快照；增加多工作区并发集成测试,R0
CTX-P0-001,P0 致命,Context Package,Context Build 使用随机不存在的 SnapshotId,ContextCommands 与 Desktop /context/build 均 IndexSnapshotId.New()，而候选来自数据库 Active Snapshot,Manifest 无法复现真实索引版本，缓存键、审计、过期判断全部失真,查询并绑定实际 Active Snapshot；不存在时返回 INDEX_NOT_READY；Snapshot 必须外键校验,R0
CTX-P0-002,P0 致命,Context Package,所有文件内容哈希被写成固定 pending 值,CLI 与 Desktop 构建时 hashProvider => sha256:pending,任何文件变化都无法通过 Manifest 判断，旧上下文可能被错误复用,从 files 表读取真实 hash；在输出 Full/Chunks 前对快速指纹文件补算 SHA-256，并核对读取前后文件状态,R0
CTX-P0-003,P0 致命,核心召回,真实 CLI/API 流程完全没有符号召回，FTS 也未接入 Recall,GetIndexedFilesAsync 强制 Symbols=[]；RecallPipeline 的 keyword 只查路径，FullText/RepoMap/Import/Test/Config 枚举未实现,产品最核心的“根据任务找到正确代码”能力远低于 README 和策划目标；中文任务可能返回 0 个候选,索引阶段持久化 ParseResult/Symbol；Recall 接入 FTS5、符号表和关系表；无候选时必须有目录/最近文件安全降级,R1
BENCH-P0-001,P0 致命,Benchmark,Benchmark 结果是模拟的，不是实际实验,BenchmarkCommands.run 直接 selectedFiles=RequiredFiles；report 硬编码 baseline、成功率、Token；EndToEndTests 同样“pretend”选择正确文件,阶段门必然通过，无法证明节省 Token 或任务成功率，可能误导发布和投资决策,将当前命令改名 demo-metrics 或删除假结果；实现固定仓库、真实 Context Engine、基线 Runner、重复运行、环境重置和结果归因,R4
GW-P0-001,P0 致命,Gateway,上游错误被改写为 HTTP 200，且错误正文可能进入缓存,GatewayServer.ForwardToProviderAsync 只返回 body；HandleChatCompletions statusCode 固定 200,客户端无法正确重试/鉴权，429/401/500 被当成功；错误可能作为正常答案缓存,Provider 调用返回 status/headers/body；只缓存 2xx 且结构合法的响应；完整保留 Retry-After、Content-Type、request-id,R0
GW-P0-002,P0 致命,Gateway,Gateway 没有本地访问认证且 Host 可配置为任意地址,GatewayConfig.Host 可改，GatewayServer 未验证 loopback；无访问令牌,其他本机用户/进程或误绑定网络接口可借用用户 Provider Key 和费用额度,强制 loopback，除非显式危险模式；启动生成本地 bearer token；凭据放系统凭据库；所有请求验证 token,R0
IDX-P1-001,P1 高,增量索引,index refresh 尚未实现,IndexCommands.RefreshAsync 明确输出 Not yet implemented,策划案的增量索引、低延迟更新、跨会话缓存基础尚未成立,实现文件状态表、变更队列、增量事务、删除/重命名、失败恢复和快照切换,R1
IDX-P1-002,P1 高,一致性校验,verify 的绝对/相对路径模型不一致且只比较文件大小,ConsistencyReconciler.ScanDisk 返回绝对路径；数据库保存相对路径；CLI 不传忽略规则；同大小变化视为未变,verify 大概率把所有文件判成新增/删除，并漏掉同大小修改,统一 VirtualPath；比较 size+mtime+fingerprint；应用相同 ignore hash；分支切换强制校验,R1
IDX-P1-003,P1 高,忽略规则,.gitignore 语义实现不完整,IgnoreRuleEngine 不支持 !、**、根锚定、转义、最后规则优先；全平台不区分大小写,实际索引范围与 Git 不一致，可能索引敏感或巨量生成目录,引入经过验证的 gitignore matcher 或完整实现规范；建立官方 Git 测试向量,R1
IDX-P1-004,P1 高,符号索引,解析器未接入 index build，符号/关系/Outline 没有持久化,IndexCommands 只写 FTS 和 files；无 parser 调用、symbol 表写入,代码结构模块存在但核心流程不使用,为解析结果增加 symbols/imports/relations 表；按 contentHash+parserVersion 缓存；失败降级文本,R1
IDX-P1-005,P1 高,原子性/性能,每个文件多次打开 SQLite 连接且 FTS/metadata 非同事务,IndexCommands 每文件 Fts5Index.IndexFileAsync 后再 InsertFileAsync，均独立连接,大型仓库性能差；崩溃可能只写 FTS 或只写 metadata；Building 快照残留,批量连接+事务；每 N 文件 checkpoint；失败快照清理；只有全部质量门通过才激活,R1
IDX-P1-006,P1 高,哈希,大文件快速指纹被丢弃并写成 pending,IndexCommands 对 !IsFullHash 使用字符串 pending，而非 FileHash.Hash,不同大文件共享相同哈希，缓存/失效不可信,保存 fp: 指纹和 hash_kind；进入 Context Package 时再计算强哈希,R1
CTX-P1-001,P1 高,Token 预算,选择引擎没有使用 Manifest 声称的 Tokenizer,ContextEngine 选择 tokenizer 仅用于元数据；Selection/Chunking 始终 chars/4,预算和 ActualEstimate 可能显著错误，尤其中文、工具消息和不同模型,将 ITokenizer 注入 Selection/Chunking/Payload；消息开销单独计算；记录 measured/estimated/errorMargin,R2
CTX-P1-002,P1 高,Token 预算,AgentReservedTokens/ResponseReservedTokens 未参与预算公式,"TokenBudget.EffectiveBudget=min(target, hardLimit-safety)，忽略两个 reserve 字段",自定义预算可能超过模型窗口,验证 contextHard + agentReserved + responseReserved <= modelWindow；target 受全局可用预算约束,R2
CTX-P1-003,P1 高,Chunking,Chunks 模式会返回文件的全部分块，不是相关分块,ChunkingStrategy 按行切完整文件；Selection.ApplyMode 汇总所有 chunks,大文件无法真正压缩；仍可能发送全部内容，违背核心目标,以符号范围、FTS 命中行、Git hunk、错误栈行作为 anchor；邻近扩展并去重；全局预算按 chunk 逐个选择,R2
CTX-P1-004,P1 高,Selection,Outline 为空时可能选中 0 Token 的幽灵文件,Selection fallback 到 Outline；ChunkOutline 无声明返回空；文件仍被加入 selected,Manifest 声称选中但 Payload 无内容，解释与实际不一致,0 chunk 视为失败并降级 Metadata 或排除；SelectedFile 必须含 payload item count/checksum,R2
CTX-P1-005,P1 高,任务解析,任务解析仅适合英文,TaskParser WordRegex 只匹配拉丁词，操作词也仅英文；路径不支持 Windows 反斜杠/空格/连字符,中文用户与多语言任务无法产生关键词，召回质量极差,增加 Unicode tokenization、中文 n-gram/结巴可选、代码标识符独立抽取、多语言操作词典和测试集,R2
CTX-P1-006,P1 高,Ranking,“九维排序”实际多数维度永久为 0,Dependency/Test/Config 均 0；TextMatch 查路径；Normalization 声称 minmax 实为 max scaling,README 夸大，排序效果难以验证，权重意义失真,只声明已实现特征；完成 FTS/BM25、导入图、测试映射、配置关系后再启用权重；保存 feature provenance,R2
CTX-P1-007,P1 高,Repo Map,RepoMap 不遵守 max token，也没有目录树或优先级,RepoMapGenerator 的 maxTokens 未使用，所有文件直接挂 root，KeySymbols 取前 5,大型仓库输出可能超预算且结构信息弱,建立真实树、重要性评分、预算裁剪、公共符号优先、稳定排序和版本/hash,R2
CTX-P1-008,P1 高,Context Expand,--symbol 实际被当作文件路径，且扩展不创建新包,CLI targetFile=file ?? symbol；ContextExpander 只有 ExpandByFile；不持久化 parent/delta,官方 Universal Skill 的符号扩展会失败；追加上下文无法审计和复现,实现 symbol->definitions/references；扩展生成 child ContextPackage，记录 ParentPackageId、累计预算、增量哈希和安全扫描,R2
CTX-P1-009,P1 高,持久化,Context Package 读写仍丢失关键字段,ContextPackageRepository 未保存 commit/branch/dirty、ExtractedSymbols/Paths、ParserVersions、RepoMapVersion、ParentPackageId,数据库重载后不能复现原构建条件,Schema v2：完整 JSON Manifest 原文+可查询索引列；读写 round-trip property-based test,R1
CTX-P1-010,P1 高,Context Cache,缓存键不完整且缓存未接入核心流程,ContextPackageCache 内存字典、非线程安全；缺 currentFile/gitDiff/model/tokenizer/engine/chunking 等字段；CLI 未使用,命中不可靠或永远没有实际收益,以完整 BuildFingerprint 为 key；持久化元数据；加 TTL/size；通过 ContextService 统一使用,R3
SEC-P1-001,P1 高,安全策略,Restricted/PreviewRequired/BlockedPatterns/Traversal 等配置没有真正执行,SecurityPolicyEnforcer：Restricted 与 Standard 无差；PreviewRequired allowed=true；BlockedPatterns 和 EnablePathTraversalCheck 未使用,界面/配置给用户虚假安全感,建立 PolicyDecision：Allow/Deny/ApprovalRequired；所有输出路径统一调用；规则有 ID、版本、审计事件,R0
SEC-P1-002,P1 高,路径跨平台,全平台使用 OrdinalIgnoreCase 和 ToLowerInvariant,PathNormalizer、Recall、Reconciler、RepoMap 多处固定不区分大小写,Linux 上不同路径发生碰撞、错误越界判断和缓存混淆,按 OS/卷语义选择 comparer；VirtualPath 始终区分大小写，PhysicalPath 使用平台比较器,R0
API-P1-001,P1 高,Local API,Capability 声明与实际能力不一致,Desktop 声称 Gateway/Cache/Feedback，CLI 列表又不同；Refresh、Symbol Expand 等未被 limitations 表达,Agent 会调用不存在或不可靠的能力,能力由模块健康检查动态生成；每项包含 maturity/endpoint/limitations；契约测试覆盖 Skill,R3
API-P1-002,P1 高,Local API/CLI,错误格式不稳定,大量 Console 文本、匿名 {error}，没有统一 ErrorCode/traceId/recoverable；解析失败可能 500,Agent 无法可靠恢复，教程难长期兼容,所有 CLI JSON 和 HTTP 使用 ErrorEnvelope v1；参数校验返回确定错误码；stdout 只机器输出,R3
API-P1-003,P1 高,Local API,GUI 导入后没有 API 索引任务闭环,Desktop 有 workspace import/context build，但没有 index build/refresh/job endpoint,普通用户不使用 CLI 时，导入后 Context Build 通常为空,增加 /workspaces/{id}/index、jobs、cancel、progress；导入向导可自动排队但不执行仓库代码,R3
REPO-P1-001,P1 高,Git Clone,默认传递 git clone 不支持的 --no-lfs,GitProcessWrapper.CloneAsync 在 IncludeLfs=false 时 args.Add(--no-lfs),默认克隆可能直接失败,用环境变量 GIT_LFS_SKIP_SMUDGE=1；先检测 git-lfs；通过集成测试验证,R3
REPO-P1-002,P1 高,凭据,URL/命令输出未脱敏，API Key 通过命令行传入,Repo inspect 打印 OriginalUrl；Gateway start 示例/参数含 --provider-key,Token 可能进入终端历史、进程列表和日志,只接受 credential ref/环境变量/系统凭据库；URL 移除 userinfo；统一 Redactor,R0
REPO-P1-003,P1 高,Git 进程,声称有输出限制但实际没有,GitProcessWrapper StringBuilder 无上限；timeout Task 未取消；无环境清理,恶意/异常 Git 输出可占用大量内存，子进程环境继承敏感变量,流式限长、超限终止；最小环境白名单；取消后 Kill+Wait；记录截断状态,R3
